Instance,# Urns (k_i),# Colours (c_i),#Ball Draws (n_i),"Composition_i,j"
1,2,2,3,"[['7B', '3W'], ['3B', '7W']]"
2,2,2,3,"[['7B', '3W'], ['3B', '7W']]"
3,2,3,3,"[['7B', '2W', '1P'], ['2B', '1W', '7P']]"
4,2,3,3,"[['7B', '2W', '1P'], ['2B', '1W', '7P']]"
5,2,4,3,"[['4B', '3W', '2P', '1G'], ['1B', '2W', '3P', '4G']]"
6,2,4,3,"[['4B', '3W', '2P', '1G'], ['1B', '2W', '3P', '4G']]"
7,3,2,3,"[['7B', '3W'], ['5B', '5W'], ['3B', '7W']]"
8,3,2,3,"[['7B', '3W'], ['5B', '5W'], ['3B', '7W']]"
9,3,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P']]"
10,3,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P']]"
11,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
12,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
13,4,2,3,"[['7B', '3W'], ['6B', '4W'], ['4B', '6W'], ['3B', '7W']]"
14,4,2,3,"[['7B', '3W'], ['6B', '4W'], ['4B', '6W'], ['3B', '7W']]"
15,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
16,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
17,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
18,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
