participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3,DV_bayesInExp,Chosen Urn,chosen_urn_A,chosen_urn_B,chosen_urn_C,chosen_urn_D,totalBalls,totalBalls_B,totalBalls_W,totalBalls_P,totalBalls_G,MSE_hsi_RvB,MSE_ff_RvB,MSE_hsi_CvR,MSE_hsi_CvB,MSE_hsi_diff_CvR_CvB,prior_uA,prior_uB,prior_uC,prior_uD,prior_cB,prior_cW,prior_cP,prior_cG,JSD_U_priorVpos,JSD_C_priorVpos,instanceSeq
1,1,1,22.4335938,11.3999023,18,Female,No,Yes,Never,30.0,70.0,45.0,55.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,3.0,2.999999999999993,,,0.0,0.0256998211125291,0.0,0.0256998211125291,1.0,0.9743001788874708,1.0,0.9743001788874708,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,8.999999999999979,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,6
1,1,2,10.5,10.1000977,18,Female,No,Yes,Never,70.0,30.0,55.0,45.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,57.99999999999999,42.0,,,20.0,20.0,,,5.0,5.0,,,0.174083729392848,0.0425282500099162,0.174083729392848,0.0256998211125291,0.8259162706071519,0.9574717499900838,0.8259162706071519,0.9743001788874708,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,400.0,25.0,4900.0,2500.0,2400.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,6
1,1,3,7.26660156,13.4667969,18,Female,No,Yes,Never,30.0,70.0,45.0,55.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,50.0,50.0,,,42.0,57.99999999999999,,,0.0,0.0,,,3.0,2.999999999999993,,,0.0,0.0256998211125291,0.174083729392848,0.0256998211125291,1.0,0.9743001788874708,0.8259162706071519,0.9743001788874708,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,0.0,8.999999999999979,900.0,900.0,0.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,6
2,1,1,13.300293,20.4663086,31,Female,No,No,Never,30.0,70.0,33.0,67.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,9.0,9.000000000000007,,,0.0,0.0790181562571184,0.0,0.0790181562571184,1.0,0.9209818437428816,1.0,0.9209818437428816,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,81.00000000000006,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,5
2,1,2,11.6831055,37.3500977,31,Female,No,No,Never,40.0,60.0,22.0,78.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,46.0,54.0,,,10.0,10.0,,,28.0,28.0,,,0.0854351026245885,0.250198796508915,0.0854351026245885,0.2169002860346992,0.9145648973754116,0.749801203491085,0.9145648973754116,0.7830997139653008,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,100.0,784.0,1600.0,2500.0,-900.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,5
2,1,3,11.25,25.4331055,31,Female,No,No,Never,30.0,70.0,33.0,67.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,22.0,78.0,,,42.0,57.99999999999999,,,0.0,0.0,,,9.0,9.000000000000007,,,0.0,0.0790181562571184,0.0775704286199891,0.0790181562571184,1.0,0.9209818437428816,0.9224295713800108,0.9209818437428816,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,0.0,81.00000000000006,900.0,900.0,0.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,5
4,1,1,12.3837891,30.6665039,19,Female,No,No,Not Applicable,30.0,70.0,42.0,58.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,0.0,7.105427357601002e-15,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,2.524354896707238e-29,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
4,1,2,30.8833,22.5166016,19,Female,No,No,Not Applicable,33.0,67.0,44.0,56.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,43.0,56.99999999999999,,,17.0,17.0,,,6.0,6.0,,,0.1469295015291196,0.051066896877642,0.1469295015291196,0.0085659859595518,0.8530704984708803,0.948933103122358,0.8530704984708803,0.9914340140404482,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,289.0,36.0,1089.0,2500.0,-1411.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,7
4,1,3,6.666992,8.699707,19,Female,No,No,Not Applicable,28.0,72.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,17.0,83.0,,,41.0,59.0,,,2.0,2.0,,,2.0,2.000000000000007,,,0.0187187457911271,0.0172691636642552,0.1123166700042286,0.0086508861961584,0.9812812542088728,0.9827308363357448,0.8876833299957714,0.9913491138038416,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,4.0,4.000000000000014,784.0,900.0,-116.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
5,1,1,21.5830078,16.2998047,22,Male,Yes,No,Never,30.0,70.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,2.0,2.000000000000007,,,0.0,0.0172691636642552,0.0,0.0172691636642552,1.0,0.9827308363357448,1.0,0.9827308363357448,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,4.000000000000014,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,12
