ACC_c,ACC_u,AEWCC_c,AEWCC_u,AMDCC_c,AMDCC_u,CC_c,CC_u,Chosen Urn,DQ_C_o,DQ_C_s,DQ_U_o,DQ_U_s,DV_bayesInExp,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3,EWCC_c,EWCC_u,H_c,H_p,H_r,H_s,JSD_C_priorVpos,JSD_C_rc,JSD_C_rs,JSD_U_ct,JSD_U_priorVpos,JSD_U_rc,JSD_U_rs,JSD_U_rt,JSD_U_st,MDCC_c,MDCC_u,MSE_ff_RvC,MSE_hsi_RvC,MSE_hsi_RvT,MSE_hsi_SvT,MSE_hsi_TvC,MSE_hsi_TvR,MSE_hsi_diff_TvR_TvC,age,bayesFamaliar,bayesInExp,cB_c,cB_r,cB_s,cG_c,cG_r,cG_s,cP_c,cP_r,cP_s,cW_c,cW_r,cW_s,colours,diff_cB,diff_cG,diff_cP,diff_cW,diff_uA,diff_uB,diff_uC,diff_uD,instanceName,instanceSeq,participantID,prior_cB,prior_cG,prior_cP,prior_cW,prior_uA,prior_uB,prior_uC,prior_uD,probSubject,responseTimeColour,responseTimeUrn,seqBall,sex,totalBalls,totalBalls_B,totalBalls_G,totalBalls_P,totalBalls_W,uA_c,uA_r,uA_s,uA_t,uB_c,uB_r,uB_s,uB_t,uC_c,uC_r,uC_s,uC_t,uD_c,uD_r,uD_s,uD_t,urns
6.0,5.0,4.0,3.0,2.0,2.0,6.0,5.0,B,0.9743001788874708,0.9743001788874708,1.0,1.0,No,1,0,0,4.0,3.0,0.8812908992306927,1.0,0.8812908992306927,0.8812908992306927,0.0682018423754005,0.0256998211125291,0.0256998211125291,0.4113330221378465,0.174083729392848,0.0,0.0,0.4113330221378465,0.4113330221378465,2.0,2.0,8.999999999999979,0.0,900.0,900.0,900.0,900.0,0.0,18,Yes,Never,42.0,45.0,42.0,,,,,,,57.99999999999999,55.0,57.99999999999999,2,3.0,,,2.999999999999993,0.0,0.0,,,1,6,1,50.0,,,50.0,0.5,0.5,,,No,11.3999023,22.4335938,1,Female,20,10,,,10,30.0,30.0,30.0,0,70.0,70.0,70.0,100,,,,0,,,,0,2
12.0,15.0,8.0,9.0,4.0,6.0,6.0,10.0,B,0.9574717499900838,0.9743001788874708,0.8259162706071519,0.8259162706071519,No,0,1,0,4.0,6.0,1.0,0.8812908992306927,0.8812908992306927,1.0,0.0682018423754005,0.0425282500099162,0.0256998211125291,0.5579230452841438,0.174083729392848,0.174083729392848,0.174083729392848,0.702440464210416,0.5579230452841438,2.0,4.0,25.0,400.0,4900.0,2500.0,2500.0,4900.0,2400.0,18,Yes,Never,50.0,55.0,57.99999999999999,,,,,,,50.0,45.0,42.0,2,5.0,,,5.0,20.0,20.0,,,1,6,1,42.0,,,57.99999999999999,30.0,70.0,,,No,10.1000977,10.5,2,Female,20,10,,,10,50.0,70.0,50.0,0,50.0,30.0,50.0,100,,,,0,,,,0,2
18.0,25.0,12.0,15.0,6.0,10.0,6.0,10.0,B,0.9743001788874708,0.9743001788874708,1.0,0.8259162706071519,No,0,0,1,4.0,6.0,0.8812908992306927,1.0,0.8812908992306927,1.0,0.0682018423754005,0.0256998211125291,0.0256998211125291,0.4113330221378465,0.174083729392848,0.0,0.174083729392848,0.4113330221378465,0.5579230452841438,2.0,4.0,8.999999999999979,0.0,900.0,2500.0,900.0,900.0,0.0,18,Yes,Never,42.0,45.0,42.0,,,,,,,57.99999999999999,55.0,57.99999999999999,2,3.0,,,2.999999999999993,0.0,0.0,,,1,6,1,50.0,,,50.0,50.0,50.0,,,No,13.4667969,7.26660156,3,Female,20,10,,,10,30.0,30.0,50.0,0,70.0,70.0,50.0,100,,,,0,,,,0,2
6.0,5.0,4.0,3.0,2.0,2.0,6.0,5.0,B,0.9209818437428816,0.9209818437428816,1.0,1.0,No,1,0,0,4.0,3.0,0.8812908992306927,1.0,0.8812908992306927,0.8812908992306927,0.0682018423754005,0.0790181562571184,0.0790181562571184,0.4113330221378465,0.174083729392848,0.0,0.0,0.4113330221378465,0.4113330221378465,2.0,2.0,81.00000000000006,0.0,900.0,900.0,900.0,900.0,0.0,31,No,Never,42.0,33.0,42.0,,,,,,,57.99999999999999,67.0,57.99999999999999,2,9.0,,,9.000000000000007,0.0,0.0,,,1,5,2,50.0,,,50.0,0.5,0.5,,,No,20.4663086,13.300293,1,Female,20,10,,,10,30.0,30.0,30.0,0,70.0,70.0,70.0,100,,,,0,,,,0,2
12.0,15.0,8.0,9.0,4.0,6.0,6.0,10.0,B,0.749801203491085,0.7830997139653008,0.9145648973754116,0.9145648973754116,No,0,1,0,4.0,6.0,1.0,0.8812908992306927,0.9709505944546688,1.0,0.0682018423754005,0.250198796508915,0.2169002860346992,0.5579230452841438,0.174083729392848,0.0854351026245885,0.0854351026245885,0.48626412335275976,0.5579230452841438,2.0,4.0,784.0,100.0,1600.0,2500.0,2500.0,1600.0,-900.0,31,No,Never,50.0,22.0,46.0,,,,,,,50.0,78.0,54.0,2,28.0,,,28.0,10.0,10.0,,,1,5,2,42.0,,,57.99999999999999,30.0,70.0,,,No,37.3500977,11.6831055,2,Female,20,10,,,10,50.0,40.0,50.0,0,50.0,60.0,50.0,100,,,,0,,,,0,2
18.0,25.0,12.0,15.0,6.0,10.0,6.0,10.0,B,0.9209818437428816,0.9209818437428816,1.0,0.9224295713800108,No,0,0,1,4.0,6.0,0.8812908992306927,1.0,0.8812908992306927,0.7601675029619656,0.0682018423754005,0.0790181562571184,0.0790181562571184,0.4113330221378465,0.174083729392848,0.0,0.0775704286199891,0.4113330221378465,0.3461678880016823,2.0,4.0,81.00000000000006,0.0,900.0,484.0,900.0,900.0,0.0,31,No,Never,42.0,33.0,42.0,,,,,,,57.99999999999999,67.0,57.99999999999999,2,9.0,,,9.000000000000007,0.0,0.0,,,1,5,2,50.0,,,50.0,50.0,50.0,,,No,25.4331055,11.25,3,Female,20,10,,,10,30.0,30.0,22.0,0,70.0,70.0,78.0,100,,,,0,,,,0,2
6.0,5.0,4.0,3.0,2.0,2.0,6.0,5.0,B,1.0,1.0,1.0,1.0,No,1,0,0,4.0,3.0,0.8812908992306927,1.0,0.8812908992306927,0.8812908992306927,0.0682018423754005,0.0,0.0,0.4113330221378465,0.174083729392848,0.0,0.0,0.4113330221378465,0.4113330221378465,2.0,2.0,2.524354896707238e-29,0.0,900.0,900.0,900.0,900.0,0.0,19,No,Not Applicable,42.0,42.0,42.0,,,,,,,57.99999999999999,58.0,57.99999999999999,2,0.0,,,7.105427357601002e-15,0.0,0.0,,,1,7,4,50.0,,,50.0,0.5,0.5,,,No,30.6665039,12.3837891,1,Female,20,10,,,10,30.0,30.0,30.0,0,70.0,70.0,70.0,100,,,,0,,,,0,2
12.0,15.0,8.0,9.0,4.0,6.0,6.0,10.0,B,0.948933103122358,0.9914340140404482,0.8530704984708803,0.8530704984708803,No,0,1,0,4.0,6.0,1.0,0.8812908992306927,0.9149263727797277,1.0,0.0682018423754005,0.051066896877642,0.0085659859595518,0.5579230452841438,0.174083729392848,0.1469295015291196,0.1469295015291196,0.43436722882243617,0.5579230452841438,2.0,4.0,36.0,289.0,1089.0,2500.0,2500.0,1089.0,-1411.0,19,No,Not Applicable,50.0,44.0,43.0,,,,,,,50.0,56.0,56.99999999999999,2,6.0,,,6.0,17.0,17.0,,,1,7,4,42.0,,,57.99999999999999,30.0,70.0,,,No,22.5166016,30.8833,2,Female,20,10,,,10,50.0,33.0,50.0,0,50.0,67.0,50.0,100,,,,0,,,,0,2
18.0,25.0,12.0,15.0,6.0,10.0,6.0,10.0,B,0.9827308363357448,0.9913491138038416,0.9812812542088728,0.8876833299957714,No,0,0,1,4.0,6.0,0.8812908992306927,1.0,0.8554508105601307,0.6577047787442195,0.0682018423754005,0.0172691636642552,0.0086508861961584,0.4113330221378465,0.174083729392848,0.0187187457911271,0.1123166700042286,0.39561775284078265,0.3011712251634229,2.0,4.0,4.000000000000014,4.0,784.0,289.0,900.0,784.0,-116.0,19,No,Not Applicable,42.0,40.0,41.0,,,,,,,57.99999999999999,60.0,59.0,2,2.0,,,2.000000000000007,2.0,2.0,,,1,7,4,50.0,,,50.0,50.0,50.0,,,No,8.699707,6.666992,3,Female,20,10,,,10,30.0,28.0,17.0,0,70.0,72.0,83.0,100,,,,0,,,,0,2
6.0,5.0,4.0,3.0,2.0,2.0,6.0,5.0,B,0.9827308363357448,0.9827308363357448,1.0,1.0,No,1,0,0,4.0,3.0,0.8812908992306927,1.0,0.8812908992306927,0.8812908992306927,0.0682018423754005,0.0172691636642552,0.0172691636642552,0.4113330221378465,0.174083729392848,0.0,0.0,0.4113330221378465,0.4113330221378465,2.0,2.0,4.000000000000014,0.0,900.0,900.0,900.0,900.0,0.0,22,No,Never,42.0,40.0,42.0,,,,,,,57.99999999999999,60.0,57.99999999999999,2,2.0,,,2.000000000000007,0.0,0.0,,,1,12,5,50.0,,,50.0,0.5,0.5,,,Yes,16.2998047,21.5830078,1,Male,20,10,,,10,30.0,30.0,30.0,0,70.0,70.0,70.0,100,,,,0,,,,0,2
