participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3
1,1,1,22.4335938,11.3999023,18,Female,No,Yes,Never,30.0,70.0,45.0,55.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,3.0,2.999999999999993,,,0.0,0.025699821112529157,0.0,0.025699821112529157,1.0,0.9743001788874709,1.0,0.9743001788874709,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0
1,1,2,10.5,10.1000977,18,Female,No,Yes,Never,70.0,30.0,55.0,45.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,57.99999999999999,42.0,,,20.0,20.0,,,5.0,5.0,,,0.17408372939284805,0.04252825000991628,0.17408372939284805,0.025699821112529157,0.8259162706071519,0.9574717499900838,0.8259162706071519,0.9743001788874709,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0
1,1,3,7.26660156,13.4667969,18,Female,No,Yes,Never,30.0,70.0,45.0,55.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,50.0,50.0,,,42.0,57.99999999999999,,,0.0,0.0,,,3.0,2.999999999999993,,,0.0,0.025699821112529157,0.17408372939284805,0.025699821112529157,1.0,0.9743001788874709,0.8259162706071519,0.9743001788874709,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1
2,1,1,13.300293,20.4663086,31,Female,No,No,Never,30.0,70.0,33.0,67.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,9.0,9.000000000000007,,,0.0,0.07901815625711849,0.0,0.07901815625711849,1.0,0.9209818437428815,1.0,0.9209818437428815,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0
2,1,2,11.6831055,37.3500977,31,Female,No,No,Never,40.0,60.0,22.0,78.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,46.0,54.0,,,10.0,10.0,,,28.0,28.0,,,0.0854351026245885,0.250198796508915,0.0854351026245885,0.21690028603469924,0.9145648973754115,0.749801203491085,0.9145648973754115,0.7830997139653008,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0
2,1,3,11.25,25.4331055,31,Female,No,No,Never,30.0,70.0,33.0,67.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,22.0,78.0,,,42.0,57.99999999999999,,,0.0,0.0,,,9.0,9.000000000000007,,,0.0,0.07901815625711849,0.0775704286199891,0.07901815625711849,1.0,0.9209818437428815,0.9224295713800109,0.9209818437428815,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1
4,1,1,12.3837891,30.6665039,19,Female,No,No,Not Applicable,30.0,70.0,42.0,58.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,0.0,7.105427357601002e-15,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0
4,1,2,30.8833,22.5166016,19,Female,No,No,Not Applicable,33.0,67.0,44.0,56.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,43.0,56.99999999999999,,,17.0,17.0,,,6.0,6.0,,,0.14692950152911965,0.051066896877642036,0.14692950152911965,0.008565985959551825,0.8530704984708803,0.948933103122358,0.8530704984708803,0.9914340140404482,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0
4,1,3,6.666992,8.699707,19,Female,No,No,Not Applicable,28.0,72.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,17.0,83.0,,,41.0,59.0,,,2.0,2.0,,,2.0,2.000000000000007,,,0.01871874579112713,0.017269163664255252,0.11231667000422864,0.008650886196158492,0.9812812542088729,0.9827308363357448,0.8876833299957714,0.9913491138038415,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1
5,1,1,21.5830078,16.2998047,22,Male,Yes,No,Never,30.0,70.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,2.0,2.000000000000007,,,0.0,0.017269163664255252,0.0,0.017269163664255252,1.0,0.9827308363357448,1.0,0.9827308363357448,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0
