participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c
1003,1,1,8.990723,11.2839355,45.0,55.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,48.0,52.0,,,15.0,15.0,,,2.0,2.000000000000007,,,0.1319140868736712,0.017269163664255252,0.1319140868736712,0.06847960278156069,0.8680859131263288,0.9827308363357448,0.8680859131263288,0.9315203972184393,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0
1003,1,2,7.442871,5.935547,50.0,50.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,66.0,34.0,,,50.0,50.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.13800196573650117,0.0,1.0,1.0,0.8619980342634989,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0
1003,1,3,4.628174,12.3122559,40.0,60.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,46.0,54.0,,,10.0,10.0,,,2.0,2.000000000000007,,,0.08914767822445263,0.017269163664255252,0.08914767822445263,0.05148320640240413,0.9108523217755473,0.9827308363357448,0.9108523217755473,0.9485167935975959,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0
1005,1,1,8.541748,28.0749512,30.0,70.0,69.0,31.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,27.0,26.999999999999993,,,0.0,0.23225057688758008,0.0,0.23225057688758008,1.0,0.7677494231124199,1.0,0.7677494231124199,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0
1005,1,2,12.4750977,8.024902,50.0,50.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,50.0,50.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0
1005,1,3,18.0249023,10.6083984,67.0,33.0,35.0,65.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,56.99999999999999,43.0,,,37.0,37.0,,,7.0,7.000000000000007,,,0.31818556505504814,0.0611226277166059,0.31818556505504814,0.18824689251889484,0.6818144349449519,0.9388773722833941,0.6818144349449519,0.8117531074811052,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0
1010,1,1,17.5588379,33.190918,30.0,70.0,42.0,58.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,0.0,7.105427357601002e-15,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0
1010,1,2,37.1247559,6.083496,50.0,50.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,50.0,50.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0
1010,1,3,29.35791,6.60083,70.0,30.0,58.0,42.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,57.99999999999999,42.0,,,40.0,40.0,,,16.0,15.999999999999993,,,0.34454187085071,0.13618408484968564,0.34454187085071,0.0,0.65545812914929,0.8638159151503144,0.65545812914929,1.0,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0
10000,1,1,10.4504395,16.13379,30.0,70.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,2.0,2.000000000000007,,,0.0,0.017269163664255252,0.0,0.017269163664255252,1.0,0.9827308363357448,1.0,0.9827308363357448,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0
10000,1,2,11.217041,6.00048828,50.0,50.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,50.0,50.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0
10000,1,3,6.800293,17.9501953,30.0,70.0,35.0,65.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,7.0,7.000000000000007,,,0.0,0.0611226277166059,0.0,0.0611226277166059,1.0,0.9388773722833941,1.0,0.9388773722833941,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0
1003,2,1,14.178894,30.9718933,70.0,30.0,60.0,40.0,,,,,2,2,70.0,30.0,57.99999999999999,42.0,,,,,70.0,30.0,,,57.99999999999999,42.0,,,0.0,0.0,,,2.000000000000007,2.0,,,0.0,0.017269163664255252,0.0,0.017269163664255252,1.0,0.9827308363357448,1.0,0.9827308363357448,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0
1003,2,2,8.683289,13.45874,75.0,25.0,70.0,30.0,,,,,2,2,84.0,16.0,64.0,36.0,,,,,84.0,16.0,,,60.0,40.0,,,9.0,9.0,,,6.0,6.0,,,0.09498547166333184,0.054215574668495935,0.09498547166333184,0.08914767822445263,0.9050145283366682,0.9457844253315041,0.9050145283366682,0.9108523217755473,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0
1003,2,3,6.96176147,25.30307,80.0,20.0,70.0,30.0,,,,,2,2,93.0,7.000000000000001,67.0,33.0,,,,,88.0,13.0,,,62.0,38.0,,,13.0,13.0,,,3.0,3.0,,,0.1645207803990028,0.027429929622222467,0.08196062635302681,0.07177913516150818,0.8354792196009972,0.9725700703777775,0.9180393736469732,0.9282208648384919,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0
